method,task_category,sample_count,duplicate_url_rate_mean,fanout_faithfulness_to_user_query_mean,fanout_overpersonalization_risk_mean,fanout_persona_field_use_mean,fanout_query_diversity_mean,fanout_query_specificity_mean,fanout_search_realism_mean,final_actionability_without_overclaiming_mean,final_citation_support_mean,final_contradiction_with_evidence_mean,final_domain_safety_mean,final_evidence_usage_quality_mean,final_groundedness_mean,final_intent_satisfaction_mean,final_missing_constraint_awareness_mean,final_non_genericness_mean,final_overpersonalization_mean,final_personalization_target_use_mean,final_safety_mean,final_specificity_mean,final_uncertainty_calibration_mean,final_unsupported_claim_risk_mean,planner_calls_mean,realized_k_mean,retrieval_constraint_coverage_mean,retrieval_disconfirming_coverage_mean,retrieval_distractor_robustness_mean,retrieval_evidence_relevance_mean,retrieval_result_persona_fit_mean,retrieval_source_quality_mean,retrieval_unsafe_or_overpersonalized_retrieval_risk_mean,search_latency_mean,synthesis_calls_mean,synthesis_latency_mean,tavily_calls_mean,total_latency_mean,total_retrieved_context_size_mean,total_synthesis_context_size_mean,unique_domains_mean,unique_urls_mean,duplicate_url_rate_sem,fanout_faithfulness_to_user_query_sem,fanout_overpersonalization_risk_sem,fanout_persona_field_use_sem,fanout_query_diversity_sem,fanout_query_specificity_sem,fanout_search_realism_sem,final_actionability_without_overclaiming_sem,final_citation_support_sem,final_contradiction_with_evidence_sem,final_domain_safety_sem,final_evidence_usage_quality_sem,final_groundedness_sem,final_intent_satisfaction_sem,final_missing_constraint_awareness_sem,final_non_genericness_sem,final_overpersonalization_sem,final_personalization_target_use_sem,final_safety_sem,final_specificity_sem,final_uncertainty_calibration_sem,final_unsupported_claim_risk_sem,planner_calls_sem,realized_k_sem,retrieval_constraint_coverage_sem,retrieval_disconfirming_coverage_sem,retrieval_distractor_robustness_sem,retrieval_evidence_relevance_sem,retrieval_result_persona_fit_sem,retrieval_source_quality_sem,retrieval_unsafe_or_overpersonalized_retrieval_risk_sem,search_latency_sem,synthesis_calls_sem,synthesis_latency_sem,tavily_calls_sem,total_latency_sem,total_retrieved_context_size_sem,total_synthesis_context_size_sem,unique_domains_sem,unique_urls_sem
fixed_k1,current_rule_limit_lookup,6,0.0000,4.6667,1.0000,1.1667,1.0000,2.1667,5.0000,3.0000,5.0000,1.0000,2.8333,4.8333,4.6667,2.3333,2.8333,3.5000,1.5000,2.6667,3.0000,3.3333,3.1667,1.5000,1.0000,1.0000,2.0000,5.0000,5.0000,3.1667,1.6667,4.1667,5.0000,8.7277,1.0000,9.1746,1.0000,33.5561,6889.3333,6889.3333,4.5000,5.0000,0.0000,0.3333,0.0000,0.1667,0.0000,0.1667,0.0000,0.4472,0.0000,0.0000,0.4773,0.1667,0.2108,0.4216,0.7032,0.4282,0.3416,0.6146,0.4472,0.5578,0.6009,0.2236,0.0000,0.0000,0.3651,0.0000,0.0000,0.4014,0.3333,0.4014,0.0000,0.4971,0.0000,0.4989,0.0000,2.6217,1054.2250,1054.2250,0.3416,0.0000
fixed_k1,financial_concept_explanation,6,0.0000,4.1667,1.5000,1.6667,1.0000,2.5000,4.8333,3.6667,4.6667,1.0000,3.1667,4.3333,4.0833,2.5000,3.5000,3.0000,1.0000,2.3333,3.6667,3.0000,3.6667,1.9167,1.0000,1.0000,1.8333,5.0000,5.0000,3.8333,2.3333,4.8333,4.5000,8.5528,1.0000,11.1087,1.0000,37.4853,4075.8333,4075.8333,5.0000,5.0000,0.0000,0.5426,0.5000,0.2108,0.0000,0.3416,0.1667,0.2108,0.2108,0.0000,0.7032,0.3333,0.3745,0.3416,0.3416,0.3651,0.0000,0.3333,0.5578,0.3651,0.3333,0.2713,0.0000,0.0000,0.3073,0.0000,0.0000,0.6009,0.4216,0.1667,0.5000,0.6233,0.0000,0.7681,0.0000,2.4248,328.1525,328.1525,0.0000,0.0000
fixed_k1,financial_decision_strategy,6,0.0000,5.0000,1.0000,1.3333,1.0000,2.3333,4.8333,3.6667,5.0000,1.0000,2.5000,4.5000,4.3333,2.6667,2.8333,2.8333,1.0000,2.3333,3.0000,3.0000,3.3333,1.6667,1.0000,1.0000,2.1667,5.0000,5.0000,4.5000,2.0000,3.6667,5.0000,8.8953,1.0000,9.3394,1.0000,31.0587,3029.0000,3029.0000,5.0000,5.0000,0.0000,0.0000,0.0000,0.2108,0.0000,0.2108,0.1667,0.2108,0.0000,0.0000,0.3416,0.2236,0.2108,0.3333,0.3073,0.3073,0.0000,0.6146,0.3651,0.2582,0.2108,0.2108,0.0000,0.0000,0.1667,0.0000,0.0000,0.2236,0.0000,0.3333,0.0000,0.5619,0.0000,0.9200,0.0000,2.1517,425.1356,425.1356,0.0000,0.0000
fixed_k1,form_policy_deadline_lookup,6,0.0000,4.8333,1.0000,1.6667,1.0000,3.0000,4.8333,3.6667,5.0000,1.0000,2.8333,5.0000,4.8333,2.8333,3.6667,4.0000,1.0000,3.1667,3.0000,3.6667,3.8333,1.1667,1.0000,1.0000,3.3333,5.0000,5.0000,4.3333,3.1667,4.1667,5.0000,8.0561,1.0000,7.9336,1.0000,31.1608,3836.8333,3836.8333,5.0000,5.0000,0.0000,0.1667,0.0000,0.3333,0.0000,0.5164,0.1667,0.4216,0.0000,0.0000,0.5426,0.0000,0.1667,0.4773,0.6146,0.4472,0.0000,0.7491,0.5164,0.4944,0.4773,0.1667,0.0000,0.0000,0.4216,0.0000,0.0000,0.3333,0.4773,0.3073,0.0000,0.4740,0.0000,0.7886,0.0000,2.6484,423.0978,423.0978,0.0000,0.0000
fixed_k1,jurisdiction_resource_lookup,6,0.0000,4.6667,1.0000,1.8333,1.0000,2.5000,5.0000,2.5000,5.0000,1.0000,2.0000,4.5000,4.3333,2.0000,3.1667,2.8333,1.3333,1.6667,2.3333,2.8333,3.1667,1.6667,1.0000,1.0000,2.5000,5.0000,5.0000,4.0000,3.3333,3.8333,5.0000,10.1290,1.0000,8.9046,1.0000,34.5075,3492.0000,3492.0000,5.0000,5.0000,0.0000,0.2108,0.0000,0.1667,0.0000,0.4282,0.0000,0.3416,0.0000,0.0000,0.2582,0.2236,0.3333,0.2582,0.1667,0.4014,0.2108,0.4216,0.3333,0.4014,0.1667,0.3333,0.0000,0.0000,0.4282,0.0000,0.0000,0.6831,0.6667,0.4773,0.0000,1.1530,0.0000,0.2695,0.0000,1.8476,627.6425,627.6425,0.0000,0.0000
fixed_k1,legal_decision_strategy,6,0.0000,4.8333,1.0000,1.0000,1.0000,2.5000,4.5000,3.3333,4.6667,1.0000,2.8333,4.0000,4.0000,2.5000,2.3333,2.6667,1.6667,2.1667,3.1667,3.0000,3.0000,2.3333,1.0000,1.0000,1.6667,5.0000,5.0000,3.0000,1.8333,3.3333,5.0000,9.4003,1.0000,9.2883,1.0000,32.0370,4056.1667,4056.1667,5.0000,5.0000,0.0000,0.1667,0.0000,0.0000,0.0000,0.3416,0.2236,0.4216,0.3333,0.0000,0.4773,0.4472,0.4472,0.5627,0.6146,0.6146,0.6667,0.6009,0.4014,0.4472,0.4472,0.5578,0.0000,0.0000,0.2108,0.0000,0.0000,0.2582,0.3073,0.2108,0.0000,0.9335,0.0000,0.5493,0.0000,2.9614,524.8239,524.8239,0.0000,0.0000
fixed_k1,legal_issue_explanation,6,0.0000,4.5000,1.0000,1.3333,1.0000,2.3333,4.8333,3.0000,5.0000,1.0000,2.6667,5.0000,4.9167,2.1667,3.0000,2.8333,2.1667,1.8333,3.0000,2.6667,3.0000,1.1667,1.0000,1.0000,2.3333,5.0000,5.0000,4.1667,3.0000,3.1667,5.0000,9.0696,1.0000,9.0406,1.0000,32.5115,3483.3333,3483.3333,5.0000,5.0000,0.0000,0.3416,0.0000,0.2108,0.0000,0.2108,0.1667,0.5774,0.0000,0.0000,0.6146,0.0000,0.0833,0.6009,0.5164,0.4773,0.6540,0.6540,0.5164,0.5578,0.4472,0.1667,0.0000,0.0000,0.4944,0.0000,0.0000,0.4773,0.5164,0.4773,0.0000,0.8647,0.0000,0.7154,0.0000,1.8568,395.7256,395.7256,0.0000,0.0000
fixed_k1,personal_decision_strategy,6,0.0000,5.0000,1.0000,1.1667,1.0000,2.1667,4.8333,2.8333,4.5000,1.0000,3.3333,4.4667,4.3000,1.8333,2.3333,2.1667,2.5000,1.5000,4.0000,2.6667,3.3333,1.9167,1.0000,1.0000,1.8333,5.0000,5.0000,3.8333,2.0000,3.8333,5.0000,10.1962,1.0000,9.2585,1.0000,34.2104,7526.5000,7526.5000,5.0000,5.0000,0.0000,0.0000,0.0000,0.1667,0.0000,0.1667,0.1667,0.3073,0.5000,0.0000,0.6667,0.4944,0.6608,0.3073,0.6146,0.3073,0.5627,0.3416,0.5164,0.2108,0.4216,0.6379,0.0000,0.0000,0.3073,0.0000,0.0000,0.6540,0.3651,0.6540,0.0000,0.6624,0.0000,0.5197,0.0000,3.4646,2272.6835,2272.6835,0.0000,0.0000
fixed_k1,product_or_program_comparison,6,0.0000,4.0000,1.0000,1.0000,1.0000,2.0000,4.5000,3.1667,4.5000,1.0000,2.3333,4.0000,3.8333,2.1667,3.3333,2.3333,1.0000,2.0000,3.0000,2.3333,3.6667,2.1667,1.0000,1.0000,2.1667,5.0000,5.0000,3.6667,2.0000,4.3333,5.0000,9.3385,1.0000,9.4010,1.0000,34.6409,4674.3333,4674.3333,5.0000,5.0000,0.0000,0.4472,0.0000,0.0000,0.0000,0.2582,0.2236,0.3073,0.3416,0.0000,0.3333,0.4472,0.5426,0.3073,0.5578,0.4216,0.0000,0.2582,0.5774,0.3333,0.4216,0.5426,0.0000,0.0000,0.4014,0.0000,0.0000,0.4216,0.4472,0.3333,0.0000,0.7565,0.0000,0.2877,0.0000,2.4874,278.7804,278.7804,0.0000,0.0000
fixed_k1,shopping_product_recommendation,6,0.0000,4.6667,1.0000,1.1667,1.0000,2.0000,5.0000,3.5000,4.5000,1.0000,4.6667,4.0833,3.9167,1.8333,1.8333,2.5000,1.8333,1.5000,4.6667,3.0000,3.6667,2.0833,1.0000,1.0000,1.5000,5.0000,5.0000,4.1667,1.6667,3.6667,5.0000,9.6664,1.0000,9.9912,1.0000,33.6746,7392.0000,7392.0000,5.0000,5.0000,0.0000,0.3333,0.0000,0.1667,0.0000,0.0000,0.0000,0.3416,0.5000,0.0000,0.3333,0.4549,0.6112,0.4014,0.5426,0.5627,0.6540,0.3416,0.3333,0.4472,0.4216,0.6112,0.0000,0.0000,0.3416,0.0000,0.0000,0.6540,0.3333,0.5578,0.0000,0.8202,0.0000,0.6073,0.0000,2.2765,2726.8384,2726.8384,0.0000,0.0000
