comparison,metric,sample_count,mean_paired_diff,sem,median_paired_diff,ci95_low,ci95_high,pct_improved,pct_unchanged,pct_worsened
k1_to_k2,duplicate_url_rate,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k2,fanout_faithfulness_to_user_query,72,0.0556,0.1045,0.0000,-0.1528,0.2503,15.28,70.83,13.89
k1_to_k2,fanout_overpersonalization_risk,72,0.1806,0.0870,0.0000,0.0139,0.3611,12.50,86.11,1.39
k1_to_k2,fanout_persona_field_use,72,1.5139,0.0884,1.0000,1.3469,1.6809,94.44,5.56,0.00
k1_to_k2,fanout_query_diversity,72,1.7083,0.0894,2.0000,1.5417,1.8750,100.00,0.00,0.00
k1_to_k2,fanout_query_specificity,72,1.2500,0.1042,1.0000,1.0552,1.4309,75.00,25.00,0.00
k1_to_k2,fanout_search_realism,72,-0.0278,0.0625,0.0000,-0.1528,0.0837,12.50,72.22,15.28
k1_to_k2,final_actionability_without_overclaiming,72,0.2778,0.1013,0.0000,0.0694,0.4583,36.11,56.94,6.94
k1_to_k2,final_citation_support,72,0.1528,0.0962,0.0000,-0.0278,0.3472,12.50,81.94,5.56
k1_to_k2,final_contradiction_with_evidence,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k2,final_domain_safety,72,0.0694,0.1071,0.0000,-0.1528,0.2778,22.22,65.28,12.50
k1_to_k2,final_evidence_usage_quality,72,0.1667,0.1209,0.0000,-0.0625,0.4237,33.33,45.83,20.83
k1_to_k2,final_groundedness,72,0.2778,0.1414,0.0000,0.0083,0.5736,33.33,44.44,22.22
k1_to_k2,final_intent_satisfaction,72,0.4444,0.1026,0.0000,0.2358,0.6528,48.61,41.67,9.72
k1_to_k2,final_missing_constraint_awareness,72,0.0417,0.1446,0.0000,-0.2361,0.3194,31.94,43.06,25.00
k1_to_k2,final_non_genericness,72,0.6111,0.1228,1.0000,0.3611,0.8472,54.17,37.50,8.33
k1_to_k2,final_overpersonalization,72,-0.0694,0.1107,0.0000,-0.3056,0.1528,8.33,79.17,12.50
k1_to_k2,final_personalization_target_use,72,0.4028,0.1130,0.0000,0.1806,0.5976,41.67,44.44,13.89
k1_to_k2,final_safety,72,-0.0556,0.1045,0.0000,-0.2639,0.1389,16.67,65.28,18.06
k1_to_k2,final_specificity,72,0.4861,0.1203,0.0000,0.2361,0.7083,40.28,52.78,6.94
k1_to_k2,final_uncertainty_calibration,72,0.0139,0.1227,0.0000,-0.2226,0.2500,29.17,48.61,22.22
k1_to_k2,final_unsupported_claim_risk,72,-0.3194,0.1407,0.0000,-0.6181,-0.0554,20.83,40.28,38.89
k1_to_k2,planner_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k2,realized_k,72,1.0000,0.0000,1.0000,1.0000,1.0000,100.00,0.00,0.00
k1_to_k2,retrieval_constraint_coverage,72,1.0625,0.1203,1.0000,0.8333,1.3056,68.06,27.78,4.17
k1_to_k2,retrieval_disconfirming_coverage,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k2,retrieval_distractor_robustness,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k2,retrieval_evidence_relevance,72,0.4722,0.1235,0.0000,0.2222,0.7083,40.28,47.22,12.50
